lr_domain,domain_loss_weight,radius_loss_weight,radius_margin,alpha,oa,aa,oa_known,aa_known,unknown,hos
0.0001,0.1,0.5,0.01,0.01,0.47013208270072937,0.5913484692573547,0.45921316742897034,0.6043604612350464,0.5002643465995789,0.5474076271057129
0.0001,0.1,0.5,0.05,0.01,0.48700422048568726,0.6072721481323242,0.48706191778182983,0.6244759559631348,0.4868449568748474,0.547137975692749
0.0001,0.1,0.5,0.1,0.01,0.5704775452613831,0.564214825630188,0.6703726649284363,0.6027023196220398,0.2948027551174164,0.39593827724456787
0.0001,0.1,1.0,0.01,0.01,0.47013208270072937,0.5913484692573547,0.45921316742897034,0.6043604612350464,0.5002643465995789,0.5474076271057129
0.0001,0.1,1.0,0.05,0.01,0.48700422048568726,0.6072721481323242,0.48706191778182983,0.6244759559631348,0.4868449568748474,0.547137975692749
0.0001,0.1,1.0,0.1,0.01,0.5704775452613831,0.564214825630188,0.6703726649284363,0.6027023196220398,0.2948027551174164,0.39593827724456787
0.0001,0.1,1.5,0.01,0.01,0.47013208270072937,0.5913484692573547,0.45921316742897034,0.6043604612350464,0.5002643465995789,0.5474076271057129
0.0001,0.1,1.5,0.05,0.01,0.48700422048568726,0.6072721481323242,0.48706191778182983,0.6244759559631348,0.4868449568748474,0.547137975692749
0.0001,0.1,1.5,0.1,0.01,0.5704775452613831,0.564214825630188,0.6703726649284363,0.6027023196220398,0.2948027551174164,0.39593827724456787
0.0001,0.5,0.5,0.01,0.01,0.5461636781692505,0.4990318715572357,0.59745854139328,0.512520968914032,0.40460819005966187,0.45221585035324097
0.0001,0.5,0.5,0.05,0.01,0.5433568954467773,0.5556598901748657,0.5942419171333313,0.5774780511856079,0.40293261408805847,0.47466790676116943
0.0001,0.5,0.5,0.1,0.01,0.5553761720657349,0.5649986267089844,0.6316326260566711,0.5964362025260925,0.34493568539619446,0.4370900094509125
0.0001,0.5,1.0,0.01,0.01,0.5461636781692505,0.4990318715572357,0.59745854139328,0.512520968914032,0.40460819005966187,0.45221585035324097
0.0001,0.5,1.0,0.05,0.01,0.5433568954467773,0.5556598901748657,0.5942419171333313,0.5774780511856079,0.40293261408805847,0.47466790676116943
0.0001,0.5,1.0,0.1,0.01,0.5553761720657349,0.5649986267089844,0.6316326260566711,0.5964362025260925,0.34493568539619446,0.4370900094509125
0.0001,0.5,1.5,0.01,0.01,0.5461636781692505,0.4990318715572357,0.59745854139328,0.512520968914032,0.40460819005966187,0.45221585035324097
0.0001,0.5,1.5,0.05,0.01,0.5433568954467773,0.5556598901748657,0.5942419171333313,0.5774780511856079,0.40293261408805847,0.47466790676116943
0.0001,0.5,1.5,0.1,0.01,0.5553761720657349,0.5649986267089844,0.6316326260566711,0.5964362025260925,0.34493568539619446,0.4370900094509125
0.0001,1.0,0.5,0.01,0.01,0.5513968467712402,0.6021870374679565,0.615066409111023,0.6345435976982117,0.37569162249565125,0.471954882144928
0.0001,1.0,0.5,0.05,0.01,0.503486156463623,0.5238592624664307,0.5575365424156189,0.5480782389640808,0.3543263077735901,0.43040239810943604
0.0001,1.0,0.5,0.1,0.01,0.5439234375953674,0.548734724521637,0.624988853931427,0.5813808441162109,0.320211797952652,0.4129692316055298
0.0001,1.0,1.0,0.01,0.01,0.5513968467712402,0.6021870374679565,0.615066409111023,0.6345435976982117,0.37569162249565125,0.471954882144928
0.0001,1.0,1.0,0.05,0.01,0.503486156463623,0.5238592624664307,0.5575365424156189,0.5480782389640808,0.3543263077735901,0.43040239810943604
0.0001,1.0,1.0,0.1,0.01,0.5439234375953674,0.548734724521637,0.624988853931427,0.5813808441162109,0.320211797952652,0.4129692316055298
0.0001,1.0,1.5,0.01,0.01,0.5513968467712402,0.6021870374679565,0.615066409111023,0.6345435976982117,0.37569162249565125,0.471954882144928
0.0001,1.0,1.5,0.05,0.01,0.503486156463623,0.5238592624664307,0.5575365424156189,0.5480782389640808,0.3543263077735901,0.43040239810943604
0.0001,1.0,1.5,0.1,0.01,0.5439234375953674,0.548734724521637,0.624988853931427,0.5813808441162109,0.320211797952652,0.4129692316055298
0.0005,0.1,0.5,0.01,0.01,0.5568756461143494,0.5202237367630005,0.6736783385276794,0.5610354542732239,0.23454196751117706,0.3307946026325226
0.0005,0.1,0.5,0.05,0.01,0.5471461415290833,0.6075773239135742,0.6267672181129456,0.6475998163223267,0.3274204432964325,0.43493950366973877
0.0005,0.1,0.5,0.1,0.01,0.5405383110046387,0.4325979948043823,0.6293497085571289,0.45219048857688904,0.2954506576061249,0.3573906719684601
0.0005,0.1,1.0,0.01,0.01,0.5568756461143494,0.5202237367630005,0.6736783385276794,0.5610354542732239,0.23454196751117706,0.3307946026325226
0.0005,0.1,1.0,0.05,0.01,0.5471461415290833,0.6075773239135742,0.6267672181129456,0.6475998163223267,0.3274204432964325,0.43493950366973877
0.0005,0.1,1.0,0.1,0.01,0.5405383110046387,0.4325979948043823,0.6293497085571289,0.45219048857688904,0.2954506576061249,0.3573906719684601
0.0005,0.1,1.5,0.01,0.01,0.5568756461143494,0.5202237367630005,0.6736783385276794,0.5610354542732239,0.23454196751117706,0.3307946026325226
0.0005,0.1,1.5,0.05,0.01,0.5471461415290833,0.6075773239135742,0.6267672181129456,0.6475998163223267,0.3274204432964325,0.43493950366973877
0.0005,0.1,1.5,0.1,0.01,0.5405383110046387,0.4325979948043823,0.6293497085571289,0.45219048857688904,0.2954506576061249,0.3573906719684601
0.0005,0.5,0.5,0.01,0.01,0.5073981285095215,0.4605585038661957,0.4831031858921051,0.4442892372608185,0.574443519115448,0.5010520219802856
0.0005,0.5,0.5,0.05,0.01,0.5593040585517883,0.64707350730896,0.6655908823013306,0.701513946056366,0.2659904956817627,0.3857264816761017
0.0005,0.5,0.5,0.1,0.01,0.5438560843467712,0.5318707227706909,0.5467397570610046,0.5312954783439636,0.5358980894088745,0.5335869193077087
0.0005,0.5,1.0,0.01,0.01,0.5073981285095215,0.4605585038661957,0.4831031858921051,0.4442892372608185,0.574443519115448,0.5010520219802856
0.0005,0.5,1.0,0.05,0.01,0.5593040585517883,0.64707350730896,0.6655908823013306,0.701513946056366,0.2659904956817627,0.3857264816761017
0.0005,0.5,1.0,0.1,0.01,0.5438560843467712,0.5318707227706909,0.5467397570610046,0.5312954783439636,0.5358980894088745,0.5335869193077087
0.0005,0.5,1.5,0.01,0.01,0.5073981285095215,0.4605585038661957,0.4831031858921051,0.4442892372608185,0.574443519115448,0.5010520219802856
0.0005,0.5,1.5,0.05,0.01,0.5593040585517883,0.64707350730896,0.6655908823013306,0.701513946056366,0.2659904956817627,0.3857264816761017
0.0005,0.5,1.5,0.1,0.01,0.5438560843467712,0.5318707227706909,0.5467397570610046,0.5312954783439636,0.5358980894088745,0.5335869193077087
0.0005,1.0,0.5,0.01,0.01,0.4976983666419983,0.5237411856651306,0.5491684675216675,0.5477529764175415,0.3556593060493469,0.4312835931777954
0.0005,1.0,0.5,0.05,0.01,0.5621345639228821,0.6263325214385986,0.6512832641601562,0.6706492900848389,0.31611597537994385,0.4296927750110626
0.0005,1.0,0.5,0.1,0.01,0.4443049132823944,0.5479862093925476,0.4135514497756958,0.5506737232208252,0.5291734337806702,0.5397095680236816
0.0005,1.0,1.0,0.01,0.01,0.4976983666419983,0.5237411856651306,0.5491684675216675,0.5477529764175415,0.3556593060493469,0.4312835931777954
0.0005,1.0,1.0,0.05,0.01,0.5621345639228821,0.6263325214385986,0.6512832641601562,0.6706492900848389,0.31611597537994385,0.4296927750110626
0.0005,1.0,1.0,0.1,0.01,0.4443049132823944,0.5479862093925476,0.4135514497756958,0.5506737232208252,0.5291734337806702,0.5397095680236816
0.0005,1.0,1.5,0.01,0.01,0.4976983666419983,0.5237411856651306,0.5491684675216675,0.5477529764175415,0.3556593060493469,0.4312835931777954
0.0005,1.0,1.5,0.05,0.01,0.5621345639228821,0.6263325214385986,0.6512832641601562,0.6706492900848389,0.31611597537994385,0.4296927750110626
0.0005,1.0,1.5,0.1,0.01,0.4443049132823944,0.5479862093925476,0.4135514497756958,0.5506737232208252,0.5291734337806702,0.5397095680236816
